1   1  -21.10   43.71  -3.68    98.22   -42.29
1   2  -20.60   38.90   1.47    81.48   -31.48
1   3  -15.37   36.63  -0.96    91.69   -38.98
1   4  -15.37   36.63  -0.96    91.69   -38.98
1   9  -19.68   45.34   1.55    88.59   -37.68
2   1  -28.76   21.48  -2.09    95.75   -41.70
2   2  -26.59   27.34  -0.63    90.73   -37.56
2   3  -22.23   27.38  -4.90    97.68   -41.66
2   4  -20.68   27.51  -1.21    92.11   -38.02  
2   9  -24.37   28.09  -3.18    90.43   -36.34
3   1  -31.48   11.76  -2.76   107.77   -49.28
3   2  -28.64   18.00  -6.91   111.79   -51.71
3   3  -20.77   25.96  -6.91   111.79    51.75 
3   4  -23.70    4.56  -4.19   129.62   -66.36
3   9  -26.13   28.09  -3.18    90.43   -36.34
 

