1                       -09.84  43.33   -09.92  103.87  -43.54  
2  ( 1 )                -34.46  49.28    08.75   68.29  -23.19
3  ( 1 , 1 )            -26.63  17.17   -06.03  116.43  -55.60
4  ( 1 , 2 ) cis        -17.88  24.03   -03.64  110.53  -53.26
5  ( 1 , 2 ) trans      -25.04  24.70   -02.47  107.64  -52.17
6  ( 1 , 3 ) cis        -24.20  24.70   -02.47  107.64  -52.17
7  ( 1 , 3 ) trans      -21.94  24.70   -02.47  107.64  -52.17
8  ( 1 )                -33.66  46.35    11.60   81.27  -39.61   
9  ( 1 , 1 )            -24.24  20.47    13.52  111.49  -41.03
10 ( 1 , 2 ) cis        -15.41  29.98   -08.00  100.06  -38.73
11 ( 1 , 2 ) trans      -23.24  26.38   -05.82  103.37  -43.25
12 ( 1 , 3 ) cis        -28.01  25.92   -06.32   95.21  -33.03
13 ( 1 , 3 ) trans      -19.80  31.69   -04.31   88.49  -32.20
14 ( 1 , 4 ) cis        -19.89  25.92   -04.31   88.49  -32.20
15 ( 1 , 4 ) trans      -27.84  20.26   -08.42  107.68  -44.05
16 ( 1 )                -35.50  47.94    05.78   64.68  -19.51
17 ( 1 , 2 )            -27.80  36.43    12.48   50.03  -11.97
18 ( 1 , 3 )            -29.14  41.66    05.02   64.81  -19.64
19 ( 1 , 4 )            -28.72  36.22    05.48   60.33  -16.16
20 ( 1 , 2 , 3 )        -30.40  42.87    14.15   29.27   09.67
21 ( 1 , 2 , 4 )        -33.49  43.63    16.41   18.63   16.24
22 ( 1 , 3 , 5 )        -34.22  26.84    06.20   58.41  -14.74
23 Position 1           -34.12  41.83    06.36   37.39  -32.11
24 Position 2           -34.88  44.42    10.68   61.80  -20.18
25 ( 1 , 2 )            -26.42  30.31    13.06   64.81  -24.58
26 ( 1 , 3 )            -27.76  35.59    05.61   79.59  -32.24
27 ( 1 , 4 )            -27.34  30.10    06.07   75.11  -28.76
28 ( 2 , 3 )            -26.42  30.31    13.06   64.81  -24.58
